doc_id,may_doc_title,apr_doc_title,dec_doc_title,distance_dec_to_apr,distance_may_to_apr
frus1969-76ve04d299,299. Memorandum From the Chief of the Near East and South Asia                             Division of the Central Intelligence Agency (Waller) to the Assistant Secretary of State                             for Near Eastern and South Asian Affairs (Sisco)  ,299. Memorandum From the Chief of the Near East and South Asia                             Division of the Central Intelligence Agency (Waller) to the Assistant Secretary of State                             for Near Eastern and South Asian Affairs (Sisco)  ,"299. Memorandum From the Chief of the Near East and South Asia                             Division of the Central Intelligence Agency (Waller) to the Assistant Secretary of State                             for Near Eastern and South Asian Affairs (Sisco), Washington, March 9, 1972  ",27,0
frus1969-76ve04d300,300. Central Intelligence Agency Information Cable TDCS                                 DB–315/02084–72  ,300. Central Intelligence Agency Information Cable TDCS                                 DB–315/02084–72  ,"300. Central Intelligence Agency Information Cable TDCS                             DB–315/02084–72, Washington, March 10, 1972  ",32,0
frus1969-76ve04d301,301. Memorandum From Harold                                 Saunders of the National Security Council Staff to the                             President’s Deputy Assistant for National Security Affairs (Haig)  ,301. Memorandum From Harold                                 Saunders of the National Security Council Staff to the                             President’s Deputy Assistant for National Security Affairs (Haig)  ,"301. Memorandum From Harold                                 Saunders of the National Security Council Staff to the                             President’s Deputy Assistant for National Security Affairs (Haig), Washington, March 27,                                 1972  ",60,0
frus1969-76ve04d302,"302. Memorandum From the Director of Central Intelligence (Helms) to the President’s                             Assistant for National Security Affairs (Kissinger), Secretary of State Rogers, and Secretary of Defense                                 Laird  ","302. Memorandum From the Director of Central Intelligence (Helms) to the President’s                             Assistant for National Security Affairs (Kissinger), Secretary of State Rogers, and Secretary of Defense                                 Laird  ","302. Memorandum From the Director of Central Intelligence (Helms) to the President’s                             Assistant for National Security Affairs (Kissinger), Secretary Rogers, and Secretary Laird, Washington, March 29, 1972  ",53,0
frus1969-76ve04d303,"303. Memorandum From the Director of Central Intelligence (Helms) to the President’s                             Assistant for National Security Affairs (Kissinger), Secretary of State Rogers, and Secretary of Defense                                 Laird  ","303. Memorandum From the Director of Central Intelligence (Helms) to the President’s                             Assistant for National Security Affairs (Kissinger), Secretary of State Rogers, and Secretary of Defense                                 Laird  ","303. Memorandum From the Director of Central Intelligence (Helms) to the President’s                             Assistant for National Security Affairs (Kissinger), Secretary Rogers, and Secretary Laird, Washington, March 31, 1972  ",53,0
frus1969-76ve04d304,"304. Memorandum From Andrew Killgore                             of the Bureau of Near Eastern and South Asian Affairs, Department of                             State to the Assistant Secretary for Near Eastern and South Asian                             Affairs (Sisco)  ","304. Memorandum From Andrew Killgore                             of the Bureau of Near Eastern and South Asian Affairs, Department of                             State to the Assistant Secretary for Near Eastern and South Asian                             Affairs (Sisco)  ","304. Memorandum From Andrew Killgore                             of the Bureau of Near Eastern and South Asian Affairs to the Assistant                             Secretary for Near Eastern and South Asian Affairs (Sisco), Washington, April 3,                                 1972  ",83,0
frus1969-76ve04d305,305. Memorandum From the Executive Secretary of the Department of                             State (Eliot) to the                             President’s Assistant for National Security Affairs (Kissinger)  ,305. Memorandum From the Executive Secretary of the Department of                             State (Eliot) to the                             President’s Assistant for National Security Affairs (Kissinger)  ,"305. Memorandum From the Executive Secretary of the Department of                             State (Eliot) to the                             President’s Assistant for National Security Affairs (Kissinger), April 13,                                 1972  ",48,0
frus1969-76ve04d306,306. Telegram 69032 From the Department of                                 State to the Embassy in France  ,306. Telegram 69032 From the Department of                                 State to the Embassy in France  ,"306. Telegram 69032 From the Department of                                 State to the Embassy in France,                             April 20, 1972, 2359Z  ",51,0
frus1969-76ve04d307,307. Intelligence Memorandum No. 0865/72  ,307. Intelligence Memorandum No. 0865/72  ,"307. Intelligence Memorandum No. 0865/72, Washington, May 12,                                 1972  ",58,0
frus1969-76ve04d308,308. Briefing Paper Prepared for President Nixon  ,308. Briefing Paper Prepared for President Nixon  ,"308. Briefing Paper Prepared for President Nixon, May 18, 1972  ",14,0
frus1969-76ve04d309,309. Action Memorandum From the Assistant Secretary of State for Near                             Eastern and South Asian Affairs (Sisco) to the Deputy Under Secretary for Management                                 (Macomber)  ,309. Action Memorandum From the Assistant Secretary of State for Near                             Eastern and South Asian Affairs (Sisco) to the Deputy Under Secretary for Management                                 (Macomber)  ,"309. Action Memorandum From the Assistant Secretary for Near Eastern                             and South Asian Affairs (Sisco) to the Deputy Under Secretary for Management                                 (Macomber),                             Washington, May 25, 1972   ",75,0
frus1969-76ve04d310,310. Research Study RNAS–10 Prepared in the Bureau of Intelligence and                                 Research  ,310. Research Study RNAS–10 Prepared in the Bureau of Intelligence and                                 Research  ,"310. Research Study RNAS–10, Prepared in the Bureau of Intelligence                             and Research, May 31, 1972  ",22,0
frus1969-76ve04d311,311. Intelligence Memorandum ER IM 72–92 Prepared in the Central                             Intelligence Agency  ,311. Intelligence Memorandum ER IM 72–92 Prepared in the Central                             Intelligence Agency  ,"311. Intelligence Memorandum ER IM 72–92, Washington, June 1972  ",63,0
frus1969-76ve04d312,312. Memorandum From the Deputy Assistant Secretary of State for                             International Resources and Food Policy (Katz) to the Assistant Secretary of State for                             Economic and Business Affairs (Armstrong)  ,312. Memorandum From the Deputy Assistant Secretary of State for                             International Resources and Food Policy (Katz) to the Assistant Secretary of State for                             Economic and Business Affairs (Armstrong)  ,"312. Memorandum From the Deputy Assistant Secretary of State for                             International Resources and Food Policy (Katz) to the Assistant Secretary of State for                             Economic and Business Affairs (Armstrong), Washington, June 5, 1972  ",26,0
frus1969-76ve04d313,313. Memorandum From Harold                                 Saunders of the National Security Staff to the                             President’s Assistant for National Security Affairs (Kissinger)  ,313. Memorandum From Harold                                 Saunders of the National Security Staff to the                             President’s Assistant for National Security Affairs (Kissinger)  ,"313. Memorandum From Harold                                 Saunders of the National Security Staff to the                             President’s Assistant for National Security Affairs (Kissinger), Washington, June                             7, 1972  ",54,0
frus1969-76ve04d314,"314. Telegram 103059 From the Department of                                 State to the Embassies in the United                                 Kingdom, France, and the Netherlands  ","314. Telegram 103059 From the Department of                                 State to the Embassies in the United                                 Kingdom, France, and the Netherlands  ","314. Telegram 103059 From the Department of                                 State to the Embassies in the United                                 Kingdom, France, and the Netherlands, June 9, 1972,                                 2217Z  ",53,0
frus1969-76ve04d315,"315. Memorandum From the Chief of the Near East and South Asia                             Division, Central Intelligence Agency (Waller) to the Director of Central                             Intelligence (Helms)  ","315. Memorandum From the Chief of the Near East and South Asia                             Division, Central Intelligence Agency (Waller) to the Director of Central                             Intelligence (Helms)  ","315. Memorandum From the Chief of the Near East and South Asia                             Division, Central Intelligence Agency (Waller) to the Director of Central                             Intelligence (Helms),                             Washington, June 12, 1972  ",55,0
frus1969-76ve04d316,"316. Memorandum From the Country Director for Lebanon, Jordan, the                             Syrian Arab Republic, and Iraq (Seelye) to the Assistant Secretary of State for Near                             Eastern and South Asian Affairs (Sisco)  ","316. Memorandum From the Country Director for Lebanon, Jordan, the                             Syrian Arab Republic, and Iraq (Seelye) to the Assistant Secretary of State for Near                             Eastern and South Asian Affairs (Sisco)  ","316. Memorandum From the Country Director for Lebanon, Jordan, the                             Syrian Arab Republic, and Iraq (Seelye) to the Assistant Secretary for Near Eastern and                             South Asian Affairs (Sisco), June 13, 1972  ",41,0
frus1969-76ve04d317,317. Telegram 5798 From the Embassy in the Soviet                                 Union to the Department of                                 State  ,317. Telegram 5798 From the Embassy in the Soviet                                 Union to the Department of                                 State  ,"317. Telegram 5798 From the Embassy in the Soviet                                 Union to the Department of State,                             June 16, 1972, 1653Z  ",23,0
frus1969-76ve04d318,318. Memorandum From Harold                                 Saunders of the National Security Council Staff to the                             President’s Deputy Assistant for National Security Affairs (Haig)  ,318. Memorandum From Harold                                 Saunders of the National Security Council Staff to the                             President’s Deputy Assistant for National Security Affairs (Haig)  ,"318. Memorandum From Harold                                 Saunders of the National Security Council Staff to the                             President’s Deputy Assistant for National Security Affairs (Haig), Washington, June 23,                                 1972  ",59,0
frus1969-76ve04d319,319. Memorandum of Conversation  ,319. Memorandum of Conversation  ,"319. Memorandum of Conversation, Washington, July 5, 1972  ",26,0
frus1969-76ve04d320,320. Telegram 7605 From the Embassy in                                 Lebanon to the Department of                                 State  ,320. Telegram 7605 From the Embassy in                                 Lebanon to the Department of                                 State  ,"320. Telegram 7605 From the Embassy in                                 Lebanon to the Department of State,                             July 13, 1972, 1020Z  ",23,0
frus1969-76ve04d321,321. Memorandum From the President’s Deputy Assistant for National                             Security Affairs (Haig) to the President’s Assistant for National Security                             Affairs (Kissinger)  ,321. Memorandum From the President’s Deputy Assistant for National                             Security Affairs (Haig) to the President’s Assistant for National Security                             Affairs (Kissinger)  ,"321. Memorandum From the President’s Deputy Assistant for National                             Security Affairs (Haig) to the President’s Assistant for National Security                             Affairs (Kissinger),                             Washington, July 28, 1972  ",55,0
frus1969-76ve04d323,323. Telegram 2879 From the Embassy in                                 Belgium to the Department of                                 State  ,323. Telegram 2879 From the Embassy in                                 Belgium to the Department of                                 State  ,"323. Telegram 2879 From the Embassy in                                 Belgium to the Department of State,                             August 3, 1972, 1624Z  ",24,0
frus1969-76ve04d324,"324. Memorandum From David A. Korn,                             NEA/IRN, to the Assistant Secretary of State for Near Eastern and South                             Asian Affairs (Sisco)  ","324. Memorandum From David A. Korn,                             NEA/IRN, to the Assistant Secretary of State for Near Eastern and South                             Asian Affairs (Sisco)  ","324. Memorandum From David A. Korn,                             NEA/IRN, to the Assistant Secretary for Near Eastern and South Asian                             Affairs (Sisco),                             September 20, 1972  ",67,0
frus1969-76ve04d325,325. Memorandum From the President’s Assistant for National Security                             Affairs (Kissinger)                             to President Nixon  ,325. Memorandum From the President’s Assistant for National Security                             Affairs (Kissinger)                             to President Nixon  ,"325. Memorandum From the President’s Assistant for National Security                             Affairs (Kissinger)                             to President Nixon,                             October 5, 1972  ",45,0
frus1969-76ve04d326,326. Memorandum From the U.S. Interests Section in                                 Baghdad to the Department of                                 State  ,326. Memorandum From the U.S. Interests Section in                                 Baghdad to the Department of                                 State  ,"326. Memorandum From the U.S. Interests Section in                                 Baghdad to the Department of State,                             October 21, 1972  ",20,0
frus1969-76ve04d327,"327. Telegram 201125 From the Department of                                 State to the Embassies in France,                             Spain, Italy, the Netherlands, and Belgium  ","327. Telegram 201125 From the Department of                                 State to the Embassies in France,                             Spain, Italy, the Netherlands, and Belgium  ","327. Telegram 201125 From the Department of                                 State to the Embassies in France,                             Spain, Madrid, Italy, the Netherlands, and Belgium, November 3, 1972,                                 2357Z  ",65,0
frus1969-76ve04d328,328. Airgram A–6 From the Interests Section in                                 Baghdad to the Department of                                 State  ,328. Airgram A–6 From the Interests Section in                                 Baghdad to the Department of                                 State  ,"328. Airgram A–6 From the Interests Section in                                 Baghdad to the Department of State,                             December 1, 1972  ",21,0
frus1969-76ve04d329,329. Telegram 92 From the Interests Section in                                 Baghdad to the Department of                                 State  ,329. Telegram 92 From the Interests Section in                                 Baghdad to the Department of                                 State  ,"329. Telegram 92 From the Interests Section in                                 Baghdad to the Department of State,                             December 19, 1972, 1215Z  ",27,0
frus1969-76ve04d330,330. National Intelligence Estimate 36.2–72  ,330. National Intelligence Estimate 36.2–72  ,"330. National Intelligence Estimate 36.2–72, Washington, December 21,                                 1972  ",63,0
frus1969-76ve07d52,"52. Memorandum From the Senior Military Assistant (Haig) and Harold Saunders of the National                             Security Council Staff to the President’s Assistant for National                             Security Affairs (Kissinger), Washington, March 7, 1970  ","52. Memorandum From the Senior Military Assistant (Haig) and Harold Saunders of the National                             Security Council Staff to the President’s Assistant for National                             Security Affairs (Kissinger), Washington, March 7, 1970  ","52.Memorandum From the Senior Military Assistant (Haig) and Harold Saunders of the National                             Security Council Staff to the President’s Assistant for National                             Security Affairs (Kissinger), Washington, March 7, 1970  ",1,0
frus1969-76ve07d92,"92. Telegram 176436 From the Department of                                 State to the Embassy in India and                             the Mission to the United Nations, October 27, 1970, 1357Z  ","92. Telegram 176436 From the Department of                                 State to the Embassy in India and                             the Mission to the United Nations, October 27, 1970, 1357Z  ","92.Telegram 176436 From the Department of                                 State to the Embassy in India and                             the Mission to the United Nations, October 27, 1970, 1357Z  ",1,0
frus1969-76ve07d231,231. Editorial Note,231. Editorial Note,231.Editorial Note,1,0
frus1933v03d824,The Ambassador in Japan (Grew) to the Secretary of                                     State,The Ambassador in Japan (Grew) to the Secretary of                                     State,The Ambassador in Japan (Chew) to the Secretary of                                     State,2,0
frus1969-76ve01d83,83. Telegram From the Embassy in the                                     Netherlands to the Department of                                     State  ,83. Telegram From the Embassy in the                                     Netherlands to the Department of                                     State  ,83.Telegram From the Embassy in the                                     Netherlands to the Department of                                     State  ,1,0
frus1969-76ve01d85,85. Letter From Under Secretary of State for Political Affairs                                     (Johnson) to                                 Secretary of Transportation Volpe  ,85. Letter From Under Secretary of State for Political Affairs                                     (Johnson) to                                 Secretary of Transportation Volpe  ,85.Letter From Under Secretary of State for Political Affairs                                     (Johnson) to                                 Secretary of Transportation Volpe  ,1,0
frus1939v04d483,The Ambassador in Japan (Grew) to the Secretary of                                     State,The Ambassador in Japan (Grew) to the Secretary of                                     State,The Ambassador in Japan (Chew) to the Secretary of                                     State,2,0
frus1969-76v09d239,239. Backchannel Message From the Ambassador to Vietnam (Bunker) to the President’s Assistant                             for National Security Affairs (Kissinger) ,239. Backchannel Message From the Ambassador to Vietnam (Bunker) to the President’s Assistant                             for National Security Affairs (Kissinger) ,239. BackchannelMessage From the Ambassador to Vietnam (Bunker) to the President’s Assistant                             for National Security Affairs (Kissinger) ,1,0
frus1964-68v21d16,16. Circular Telegram From the Department of                                 State to Certain Posts  ,16. Circular Telegram From the Department of                                 State to Certain Posts  ,16.Circular Telegram From the Department of                                 State to Certain Posts  ,1,0
frus1964-68v21d79,79. Record of Meetings ,79. Record of Meetings ,79.Record of Meetings ,1,0
frus1964-68v21d81,81. Record of Meeting ,81. Record of Meeting ,81.Record of Meeting ,1,0
frus1937v03d991,The Secretary of State to                                 the Ambassador in Japan (Grew),The Secretary of State to                                 the Ambassador in Japan (Grew),The Secretary of State to                                 the Ambassador in Japan (Chew),2,0
frus1937v03d1000,The Secretary of State to                                 the Ambassador in Japan (Grew),The Secretary of State to                                 the Ambassador in Japan (Grew),The Secretary of State to                                 the Ambassador in Japan (Chew),2,0
frus1964-68v34d198,"198. Telegram From the Consulate in Dhahran, Saudi                                 Arabia, to the Department of State  ","198. Telegram From the Consulate in Dhahran, Saudi                                 Arabia, to the Department of State  ","198.Telegram From the Consulate in Dhahran, Saudi                                 Arabia, to the Department of State  ",1,0
frus1964-68v34d306,306. Telegram From the Department of State                             to the Embassy in Mexico  ,306. Telegram From the Department of State                             to the Embassy in Mexico  ,306.Telegram From the Department of State                             to the Embassy in Mexico  ,1,0
frus1964-68v18d44,44. Memorandum of Conversation ,44. Memorandum of Conversation ,44.Memorandum of Conversation ,1,0
frus1964-68v25d267,267. Record of Meeting ,267. Record of Meeting ,267.Record of Meeting ,1,0
frus1964-68v25d397,397. Telegram From the President’s Special Assistant (Rostow) to President                                 Johnson in                                 Texas ,397. Telegram From the President’s Special Assistant (Rostow) to President                                 Johnson in                                 Texas ,397.Telegram From the President’s Special Assistant (Rostow) to President                                 Johnson in                                 Texas ,1,0
frus1964-68v31d6,6. Draft Paper Prepared by Gordon                                 Chase of the National Security Council Staff ,6. Draft Paper Prepared by Gordon                                 Chase of the National Security Council Staff ,6.Draft Paper Prepared by Gordon                                 Chase of the National Security Council Staff ,1,0
frus1969-76v24d167,167. Letter From the Deputy Secretary of Defense (Rush) to Secretary of State                                 Rogers  ,167. Letter From the Deputy Secretary of Defense (Rush) to Secretary of State                                 Rogers  ,167.Letter From the Deputy Secretary of Defense (Rush) to Secretary of State                                 Rogers  ,1,0
frus1961-63v20d302,302. Telegram From the Department of State to the Embassy in the                                 Congo,302. Telegram From the Department of State to the Embassy in the                                 Congo,302.Telegram From the Department of State to the Embassy in the                                 Congo,1,0
